sit	octal	total	clade	geography
1219	737777423560771	4	T1	MEX(4)
709	737777607760700	2	LAM9	NLD(2)
388	737777607760771	15	LAM9	BRA(2) DZA(8) JPN(2) PRT(1) RUS(1) VEN(1)
710	737777700000031	4	U	NLD(4)
1279	737777757760771	4	T5	CZE(2) USA(2)
261	737777773760771	2	T1	RUS(2)
531	737777774020771	4	H1	CZE(2) GNB(1) USA (1)
1903	737777774413771	2	EAI4_VNM	VNM(2)
28	737777777413371	5	EAI5	MYS(1) NLD(4)
711	737777777413731	7	EAI1_SOM	DNK(2) FIN(1) GBR(1) NLD(2) USA (1)
204	737777777413771	10	EAI5	FXX(1) THA(1) USA (7) VNM(1)
1207	737777777700771	2	U	ITAS(2)
871	737777777720771	12	H3	ARG(2) ARM(1) FIN(1) ITA(1) USA (7)
551	737777777760610	2	T1	USA (2)
848	737777777760731	10	T2	CMR(4) DEU(1) FIN(1) GBR(1) LBY(1) USA(2)
205	737777777760771	15	T1	AUS(1) BRA(2) DEU(1) FXX(1) GBR(1) HTI(1) KEN(1) MYS(1) USA (4) VEN(1) VNM(1)
1593	740000000020771	2	H3	DEU(1) POL(1)
487	740000004020771	10	H3	AUT(1) CZE(5) DEU(1) USA (3)
1491	740000007760731	4	T2	GBR(1) MYS(3)
552	740076777760601	2	X2	USA (2)
1876	740077777777671	2	AFRI	USA(2)
1086	740737607760731	3	LAM4-LAM5	MTQ(3)
936	740737677760731	2	T2-T3	MTQ(2)
206	740777607760771	7	LAM9	BEL(1) USA(6)
909	740777676000011	14	U	CAN(9) USA (5)
1843	740777777760731	2	T2	ARG(2)
1284	741703777760771	4	T1	BEL(2) GUF(1) USA(1)
1146	741737607560771	3	T3-OSA	CUB(2) USA (1)
553	741737777760731	2	T2-T3	USA (2)
627	741737777760771	11	T3-OSA	FIN(1) IND(1) JPN(8) USA (1)
890	741774047560771	7	T1	USA (7)
391	743777607760731	2	LAM4	BRA(2)
1639	743777607760771	2	LAM9	CIV(1) FXX(1)
77	743777777760771	11	T1	GLP(1) GUF(4) HTI(4) USA (2)
1894	747777607760771	2	LAM9	BRA(2)
712	747777777760731	2	T2	NLD(2)
1566	747777777760771	2	T1	CUB(1) POL(1)
1700	753777776760771	3	T1	VEN(3)
1925	754100777677761	2	U	ITA(2)
1220	754377607760700	2	LAM9	USA(2)
143	757400004020771	5	H1	DZA(1) FXX(2) NLD(2)
1649	757677777413731	2	EAI1_SOM	MOZ(1) ZAF(1)
554	757700777760771	5	T1	USA (5)
1361	757737777760731	3	T2-T3	ITA(2) ITAS(1)
1813	757767774020771	2	H1	AUT(1) FXX(1)
1865	757767777413631	3	EAI5	USA(3)
1221	757767777760771	2	T1	FXX(1) MEX(1)
555	757776777760571	2	X1	USA (2)
1270	757776777760601	2	X2	USA(2)
1061	757776777760771	2	X1	MDG(1) USA (1)
1757	757777600000000	2	U	PRT(2)
1466	757777606060771	6	LAM11_ZWE	MWI(5) ZWE(1)
822	757777607760771	4	LAM9	BRA(2) GLP(1) USA (1)
1584	757777630760771	2	T1	DEU(1) USA(1)
1514	757777637760771	6	U	MDG(4) USA(2)
1430	757777700003371	2	U	BGD(2)
1771	757777744020771	3	H1	HUN(3)
889	757777757413771	3	EAI6_BGD1	IND(1) USA (2)
1370	757777757760771	2	T5	MYS(2)
400	757777774020731	2	H1	AUT(1) VEN(1)
382	757777774020771	8	H1	AUT(3) EST(1) FXX(1) POL(1) USA (2)
1928	757777776000771	3	U	ITA(2) POL(1)
364	757777776760771	3	T1	AUT(3)
433	757777777320771	16	H3	BEL(1) ESP(1) USA (14)
806	757777777413731	8	EAI1_SOM	MOZ(2) NOR(2) USA(2) ZWE(2)
1923	757777777700771	2	U	ITA(1) USA (1)
99	757777777720771	31	H3	ARG(1) AUT(3) BRA(1) CZE(2) DEU(1) DZA(1) FIN(1) IND(1) ITA(2) JPN(1) MDG(6) NLD(3) ROM(1) USA (7)
1631	757777777760571	2	T1	USA(2)
833	757777777760700	2	T1	FXX(2)
153	757777777760731	44	T2	AUT(1) BRA(4) CUB(5) ETH(1) FIN(4) ITA(20) NLD(1) SWE(2) USA (6)
154	757777777760771	41	T1	ARG(3) AUS(1) AUT(12) DEU(3) ESP(1) FIN(1) FXX(2) HUN(1) ITA(9) NLD(1) RUS(1) USA (6)
1574	760000007760771	4	T1	MEX(1) USA(3)
29	760001400000171	29	U (likely LAM)	ESP(1) FXX(6) GLP(5) PRT(1) USA (16)
847	760001743760771	4	LAM10_CAM	CMR(4)
1248	760003777760771	3	T1	RUS(3)
1824	760377777760701	4	T1	ARG(2) BRA(1) PYF(1)
1766	760777607760771	2	LAM9	KEN(1) USA (1)
488	760777774020771	5	H1	FXX(1) ITA(1) USA (3)
434	760777777740371	5	U	USA (5)
846	760777777760731	3	T2	CMR(2) USA(1)
845	761767743760731	2	LAM10_CAM	CMR(2)
844	761777743760731	2	LAM10_CAM	CMR(2)
915	761777777720731	2	H3	FIN(2)
1622	761777777760731	2	T2	AUT(1) USA(1)
945	763743777413771	2	EAI5	THA(2)
1610	763777607560771	2	LAM6	USA(2)
435	763777607760771	4	LAM9	USA (4)
248	763777774413771	4	EAI4_VNM	USA (2) VNM(2)
1180	763777777413700	2	EAI5	SWE(1) USA (1)
792	763777777413771	2	EAI5	FXX(1) USA (1)
713	763777777760771	6	T1	DNK(1) NLD(2) NZL(3)
1931	767000007720731	2	H3	ITA(2)
1716	767737675560771	2	T3	VEN(2)
489	767776777760601	3	X2	AUS(1) USA (2
490	767776777760771	4	X1	GBR(1) USA(3)
1371	767777606760771	2	LAM8	MYS(2)
80	767777744020771	8	H1	CUB(8)
1743	767777777720631	4	H3	BEL(2) ITA(1) NLD(1)
207	767777777720771	12	H3	AUT(2) MTQ(1) USA(9)
1578	767777777760731	2	T2	AUT(1) DEU(1)
1122	767777777760771	15	T1	ARG(1) AUT(8) BEL(2) CZE(1) FXX(1) USA (2)
144	770000003760771	10	T1	DEU(1) FXX(4) GBR(1) NLD(1) PRT(1) USA (2)
1785	770000004760771	7	T1	BEL(7)
918	770000607760771	8	T1_RUS2-LAM9	EST(4) FIN(1) ITA(1) SWE(2)
1103	770000757760771	2	T1_RUS2	USA(2)
877	770000770000000	4	U	FIN(1) NLD(1) USA (2)
1123	770000777740171	5	T5-RUS2	AUS(1) AUT(1) BEL(1) USA(2)
1173	770000777760731	5	T1_RUS2	DEU(1) EST(1) FIN(1) RUS(1) SWE(1)
280	770000777760771	46	T1_RUS2	AUS(4) AUT(3) DEU(3) EST(1) FIN(7) GEO(1) LVA(1) POL(4) RUS(5) SWE(1) TUR(2) USA (14)
320	770003606377071	4	AFRI	CMR(2) USA(2)
1124	770003777720771	5	H3	AUT(5)
145	770007000003071	3	AFRI	FXX(3)
807	770077606060731	3	LAM11_ZWE	ZWE(3)
1222	770177607760771	2	LAM9	IDN(1) USA(1)
1256	770177774020771	2	H1	RUS(1) USA (1)
436	770376777760601	11	X2	USA (11)
715	770477777777671	3	AFRI_1	CMR(1) NLD(2)
321	770737004177671	2	AFRI_1	CIV(2)
799	770767677777671	2	AFRI_1	SEN(2)
322	770767777737671	3	AFRI_1	MRT(2) SEN(1)
323	770767777767671	3	AFRI_1	FXX(1) SEN(2)
324	770767777777671	5	AFRI_1	FXX(3) SEN(2)
530	770777477775671	2	AFRI_1	GNB(2)
325	770777507777671	6	AFRI_1	FXX(2) ITA(1) USA(3)
1782	770777607777671	2	AFRI_1	BEL(1) GBR(1)
1867	770777707777651	2	AFRI_1	NLD(1) USA(1)
326	770777707777671	26	AFRI_1	BEL(2) DEU(2) FXX(4) GIN(1) GLP(1) GNB(2) ITA(2) MTQ(1) NLD(6) USA (5)
532	770777767777671	2	AFRI_1	GNB(2)
110	770777775720771	2	H3	FXX(2)
859	770777777747071	3	AFRI	CMR(2) USA(1)
187	770777777767671	39	AFRI_1	FXX(1) GBR(1) GIN(1) GNB(27) ITA(1) MDG(1) SEN(1) USA (6)
537	770777777777601	2	AFRI	GNB(2)
188	770777777777631	3	AFRI	GBR(1) GNB(2)
181	770777777777671	126	AFRI_1	?(1) BEL(1) DEU(3) DNK(1) FXX(6) GBR(3) GNB(72) GUF(1) ITA(7) NLD(9) SEN(7) SWE(1) USA (14)
1064	771777607760771	16	LAM9	BEL(4) DZA(4) FXX(2) MAR(6)
630	771777737760771	6	T1	FXX(1) GLP(1) HTI(2) USA (2)
1069	771777777760771	15	T1	AUT(7) ESP(1) FXX(1) MAR(5) PRT(1)
1759	772177606760771	3	LAM8	PRT(3)
1153	772700000003631	2	AFRI	NLD(1) USA (1)
716	772777400001671	2	AFRI	GBR(2)
556	773603774360771	3	T1	USA (3)
1461	773737677420771	2	H4	GEO(2)
1125	773737774020771	4	H1	AUT(4)
1458	773737777400771	2	U	GEO(2)
1745	773737777760771	3	T3	CZE(1) ITA(1) USA(1)
30	773776607760771	3	LAM9	GLP(2) USA(1)
491	773776777760601	2	X2	AUS(1) USA(1)
492	773777607760771	8	LAM9	GUF(1) HTI(2) ITA(1) NLD(2) USA (2)
872	773777623760771	3	T1	NLD(1) USA (2)
1434	773777740000171	3	U	BGD(3)
557	773777774020771	9	H1	USA (9)
1539	773777777720771	4	H3	ESP(3) MYS(1)
1383	773777777760731	2	T2	ARM(1) HTI(1)
926	773777777760771	8	T1	ARM(3) FIN(1) GUF(1) ITA(1) USA(1) VEN(1)
1379	773777777770771	3	CAS	ARM(3)
251	774000000760771	11	T1	FIN(1) MAR(2) NLD(1) RUS(6) USA (1)
931	774000007760771	2	T1	FIN(1) NLD(1)
146	774000077777031	2	AFRI	FXX(2)
800	774000370020771	3	H3	USA (2) VNM(1)
1454	774000677760371	2	U	GEO(2)
760	774037000020700	7	H3	ARG(1) AUT(1) DZA(3) FXX(1) ITA(1)
1067	774037707760700	8	T1	DZA(1) FXX(1) USA(1) ZAF(5)
1267	774037777760300	2	U	FXX(1) USA(1)
31	774037777760700	40	T1	AUS(1) AUT(1) CUB(1) CZE(13) FIN(1) FXX(6) GLP(2) GUF(3) ITA(4) MDG(3) MTQ(1) NLD(1) USA (3)
1348	774037777760701	2	T1	ITA(2)
327	774067606727071	3	AFRI_2	CMR(3)
328	774067606767071	9	AFRI_2	CMR(8) SEN(1)
329	774067607777071	5	AFRI_2	BEL(1) CIV(1) CMR(3)
858	774067770005071	3	AFRI_3	CMR(3)
857	774067770007071	2	AFRI_3	CMR(2)
761	774077007777071	3	AFRI_3	DEU(1) USA(2)
1592	774077602000031	2	U	DEU(1) FXX(1)
101	774077606767071	16	AFRI_2	CMR(8) FXX(4) GLP(2) USA (2)
330	774077607777031	3	AFRI	BEL(1) CAF(1) CMR(1)
331	774077607777071	18	AFRI_2	BFA(1) CIV(3) CMR(3) NGA(1) NLD(1) USA (9)
1465	774077770001071	4	AFRI_3	BEL(2) COD(2)
856	774077770005071	4	AFRI_3	CMR(4)
208	774077774413771	2	EAI4_VNM	USA (2)
437	774077777775071	4	AFRI_3	CMR(1) SLE(1) USA (2)
438	774077777777071	5	AFRI_3	NGA(2) SLE(1) USA (2)
1538	774137600020771	4	H3	BEL(1) ESP(2) NLD(1)
1294	774177407760771	2	T1	USA (1) ZAF(1)
493	774177777413731	5	EAI1_SOM	MYS(1) NLD(3) USA (1)
951	774177777413771	18	EAI5	AUS(1) DNK(1) MYS(9) NZL(2) THA(4) USA (1)
717	774177777760771	3	T1	CUB(1) FXX(1) NLD(1)
1528	774377607760771	2	LAM9	BRA(1) SWE(1)
1455	774377677420771	3	H4	GEO(3)
1428	774707777413731	3	EAI1_SOM	BGD(3)
922	774747377420771	2	H4	FIN(2)
1480	774776000420771	4	H4	RUS(4)
1568	774777377420771	2	H4	RUS(1) USA(1)
147	774777616000371	3	U	FXX(3)
1452	774777677420771	5	H4	GEO(5)
148	774777716000371	2	U	FXX(2)
1174	774777757420771	2	H4	EST(2)
1381	774777775410771	6	CAS	ARM(6)
1380	774777777410771	2	CAS	ARM(2)
1435	774777777413731	4	EAI1_SOM	BGD(4)
1175	774777777420371	4	U	EST(4)
762	774777777420731	2	H4	NLD(1) RUS(1)
262	774777777420771	88	H4	ARM(2) AUT(12) AZE(1) BEL(1) CZE(1) EST(3) FIN(8) FXX(1) GEO(5) ITA(11) KAZ(3) LVA(1) NLD(2) POL(3) RUS(24) SWE(1) TUR(3) USA (6)
1481	774777777423771	2	MANU2	RUS(2)
801	774777777760771	3	T1	DEU(1) USA (1) ZWE(1)
1407	775377777413771	2	EAI5	BGD(2)
1126	775677757760771	2	T5	AUT(1) GBR(1)
266	775740003760771	14	T1	DZA(1) LVA(1) RUS(10) USA (2)
1482	775740003763771	3	MANU2	LVA(1) RUS(2)
1697	775767607760671	2	LAM9	FXX(1) VEN(1)
1912	775767757760771	2	T5	ARG(1) MTQ(1)
1829	775767777760671	2	T1	ARG(1) FXX(1)
904	775775757760771	6	T5	USA (6)
259	775777377760771	4	T1	GLP(2) MTQ(2)
1553	775777401760771	2	T1	AUT(2)
1549	775777606060731	4	LAM11_ZWE	BDI(1) BEL(3)
68	775777757760771	50	T5	ARG(26) AUT(4) BRB(1) CZE(5) DEU(3) FXX(1) GBR(1) IND(1) ITA(2) MTQ(1) NLD(2) SWE(2) USA (1)
1742	775777774020771	2	H1	FXX(1) ITA(1)
939	775777777413771	2	EAI5	THA(2)
1556	775777777660771	2	T1	AUT(1) POL(1)
935	775777777720771	5	H3	FIN(2) USA(3)
1909	775777777760700	3	T1	BRA(2) VEN(1)
966	775777777760771	6	T1	ARG(1) EST(1) FXX(2) MUS(1) NLD(1)
1684	776000000000000	2	U	BRA(1) FXX(1)
271	776000000000111	2	U	NLD(2)
32	776000000000171	65	U (likely S)	BEL(31) BRA(1) DEU(1) FXX(1) GUF(2) IDN(10) ITA(3) MYS(2) NLD(7) NZL(2) SWE(1) USA (2) ZMB(2)
718	776000000000771	2	U	CUB(1) IDN(1)
823	776000003760771	10	T1	BRA(2) DEU(1) FIN(1) ITA(1) ITAS(1) USA(4)
1099	776000017760471	3	T1	USA(3)
1589	776017404760771	2	LAM7_TUR	DEU(1) NLD(1)
209	776017607760771	23	LAM12_MAD1	BEL(2) CUB(3) ESP(10) FXX(5) ITA(1) USA(2)
170	776017777760400	2	T1	FXX(2)
171	776017777760771	2	T1	FXX(2)
210	776037777760771	104	T1	USA(104)
1685	776077607760771	2	LAM9	BRA(1) ZAF(1)
1223	776077777760771	3	T1	MDG(1) USA(1) USA (1)
902	776137607760631	3	LAM3-LAM5	USA (3)
1537	776137607760731	2	LAM3	ESP(1) ITAS(1)
211	776137607760771	50	LAM3	ARG(1) AUS(1) ESP(1) FXX(2) MDG(1) MEX(12) PRT(3) USA(28) ZAF(1)
155	776157777760771	2	T1	ITA(2)
105	776160000000071	24	U (LAM3?)	BRA(1) DZA(1) ESP(5) FXX(2) NLD(1) USA (14)
589	776161000000071	2	U	ESP(1) FXX(1)
1295	776163607760771	4	LAM3	ARG(2) ZAF(2)
111	776167607760771	15	LAM3	ARG(6) BRA(2) FXX(4) PRT(1) USA (2)
1331	776175407760771	2	T1	ZAF(2)
1830	776177207760771	3	LAM3	ARG(1) CUB(1) ITA(1)
106	776177400000171	43	U (LAM3?)	ARG(5) AUS(1) BEL(1) BRA(3) DZA(3) ESP(6) FXX(3) REU(1) USA(18) VEN(2)
719	776177407760771	11	T1	ARG(1) NLD(1) USA(2) ZAF(7)
1624	776177607560771	2	LAM3-LAM6	USA(2)
1841	776177607740771	2	U	ARG(1) ZAF(1)
720	776177607760371	4	U	ARG(4)
1335	776177607760400	2	LAM3	ZAF(2)
1224	776177607760700	2	LAM3	USA(2)
130	776177607760731	34	LAM3	AUT(1) BRA(1) CHL(1) CUB(1) ESP(1) ITA(4) MDG(1) USA (21) ZAF(3)
33	776177607760771	342	LAM3	ARG(60) AUT(5) BEL(6) BRA(17) CHL(1) CUB(15) ESP(18) FIN(1) FXX(27) GBR(3) GUF(3) HND(1) HTI(1) ITA(13) ITAS(5) LBY(2) MDG(3) MEX(1) MOZ(2) NLD(5) PER(2) PRT(7) SWE(1) USA(89) VEN(4) ZAF(50)
1453	776177637763771	3	MANU2	GEO(3)
608	776177770000000	7	U	BEL(2) DEU(2) FXX(1) TUR(1) USA(1)
1672	776177775760771	2	T1	MDG(2)
156	776177777760771	33	T1	AUT(1) BRA(2) ESP(1) ITA(4) MDG(22) USA(3)
1840	776327777760771	3	S	ARG(2) BEL(1)
1068	776337377760771	4	S	MAR(4)
827	776337770760771	4	S	ARG(1) BRA(2) ITA(1)
88	776337777760731	3	S	CUB(1) DZA(1) GUF(1)
71	776337777760771	33	S	ARG(1) CAN(2) CUB(5) FXX(4) IND(1) ITA(9) ITAS(3) NLD(1) USA(2) VEN(2) ZAF(3)
1052	776367377760771	2	S	EGY(1) FXX(1)
831	776367777760771	6	S	FXX(1) GLP(1) ITAS(1) MYS(1) PRT(1) ZAF(1)
1874	776370001760331	2	U	USA(1) ZAF(1)
1334	776370001760731	3	S	USA(1) ZAF(2)
1333	776370001760771	2	S	ZAF(2)
1296	776371777760771	2	S	NLD(1) ZAF(1)
1577	776376003760771	3	S	ARG(1) DEU(1) FXX(1)
466	776377377760771	15	S	BEL(1) DEU(1) DZA(9) FXX(1) MDG(1) NLD(1) TUR(1)
401	776377403760771	5	S	AUS(1) BRA(4)
1127	776377577760771	8	S	AUT(3) CAN(3) ITA(1) USA (1)
1728	776377603760771	2	S	DNK(2)
1536	776377607760771	2	S	BRA(1) ESP(1)
1351	776377677700771	3	U	ITA(3)
1271	776377677760771	3	S	USA(2) VEN(1)
1225	776377700160771	2	S	MEX(2)
1727	776377703760771	2	S	DNK(1) GRL(1)
1128	776377730360771	4	S	AUT(4)
1915	776377737760771	2	S	ITA(1) MTQ(1)
1783	776377743760771	3	LAM10_CAM-S	BEL(2) NLD(1)
1776	776377760000171	2	U	BEL(2)
295	776377763760771	12	S	GLP(1) HTI(5) USA (6)
881	776377770000731	4	U	USA(3) VEN(1)
558	776377770760731	2	S	USA (2)
559	776377770760771	4	S	USA(4)
1772	776377774020071	2	U	FXX(1) HUN(1)
383	776377774020771	9	H1-S	AUT(2) BRA(1) DEU(1) FIN(3) ITA(2)
55	776377775540771	2	U (likely S)	FXX(2)
212	776377776760771	11	S	AUT(1) CAN(7) USA(3)
1245	776377777400071	3	U	CAN(2) USA(1)
1242	776377777420771	8	H4-S	ITA(6) USA (2)
1063	776377777660771	23	S	DEU(1) DZA(22)
1918	776377777700771	3	U	ITA(3)
1244	776377777720731	2	S	CAN(2)
914	776377777720771	35	H3-S	CAN(22) FIN(7) HTI(1) ITA(2) USA (2) VEN(1)
790	776377777740771	4	U	AUS(1) SWE(1) USA(1) ZAF(1)
721	776377777760371	5	U	DNK(1) NLD(2) USA (1) ZAF(1)
874	776377777760431	2	S	USA (2)
494	776377777760711	3	S	ITAS(1) USA (2)
784	776377777760731	23	T2-S	BRA(2) CAN(14) CUB(1) FXX(1) USA (3) ZAF(2)
1356	776377777760751	7	S	BRA(1) ITA(5) MEX(1)
1938	776377777760770	3	S	IDN(1) TUR(2)
34	776377777760771	362	S	ARG(6) AUS(2) AUT(16) BEL(1) BRA(7) CAN(75) CUB(1) DEU(3) DZA(6) EGY(5) FIN(2) FXX(13) GBR(2) GEO(3) GLP(2) GUF(5) HTI(7) IDN(3) IND(1) ITA(37) ITAS(10) KEN(3) LBY(2) MAR(1) MDG(3) MEX(1) MOZ(2) MWI(1) NLD(3) NZL(2) PRT(8) REU(1) SAU(3) SWE(3) THA(1) USA(92) VEN(8) VNM(2) ZAF(19)
1779	776477777760771	11	T1	BEL(11)
332	776707777737071	5	AFRI	CMR(5)
495	776760003760771	5	T1	AZE(2) RUS(2) USA (1)
213	776777607760731	9	LAM4	ITAS(2) MYS(1) USA(6)
1708	776777607760771	2	LAM9	LVA(1) VEN(1)
1611	776777777720771	3	H3	FXX(1) USA(2)
1265	776777777760731	3	T2	ITA(1) USA(2)
1129	776777777760771	8	T1	AUT(3) FXX(1) USA(4)
560	777000000000371	5	U	GEO(1) RUS(3) USA (1)
365	777000003760771	7	T1	AUT(6) RUS(1)
345	777000377760731	10	T3_ETH	FIN(1) GBR(4) KEN(2) NOR(1) USA (2)
149	777000377760771	208	T3_ETH	AUT(1) BEL(1) DEU(1) DNK(57) ETH(79) FIN(1) FXX(9) GBR(13) ITA(2) LBY(1) NLD(16) NOR(2) SWE(6) USA(19)
582	777002777760731	2	X1	FXX(2)
1276	777017777420771	5	H4	LVA(1) RUS(2) USA(2)
1350	777017777700000	2	U	ITA(2)
1326	777037777413700	2	EAI5	IND(1) PAK(1)
1627	777137777760731	2	T2-T3	USA(1) ZAF(1)
843	777177777720771	4	H3	AUT(1) CMR(1) MEX(1) POL(1)
613	777177777760771	8	T1	AUT(3) FXX(1) ITA(1) SWE(1) USA(2)
1701	777317607760771	3	LAM9	VEN(3)
1839	777327607760770	2	LAM5	ARG(2)
1699	777347607760671	2	LAM9	VEN(2)
1821	777347777760771	2	T1	ARG(1) NOR(1)
1475	777357777760771	4	T1	ARG(1) MWI(2) VEN(1)
1838	777367607760771	3	LAM9	ARG(2) BRA(1)
439	777376777760601	2	X2	USA (2)
953	777377577360771	2	T1	AUT(1) USA(1)
81	777377607760771	20	LAM9	ARG(1) BRA(1) CUB(16) ITA(1) ZWE(1)
346	777377700003531	2	U	GBR(2)
1412	777377757413271	3	EAI6_BGD1	BGD(3)
1464	777377770000771	2	U	GEO(2)
1130	777377777700000	9	U	AUT(8) BEL(1)
1243	777377777720771	3	H3	ARG(1) ITA(1) MYS(1)
1166	777377777760771	8	T1	MWI(1) USA (5) VEN(2)
1516	777377777761771	3	U	MDG(3)
1444	777400000060771	3	T1	BEL(3)
1594	777400007760771	2	T1	POL(2)
533	777400777720771	2	H3	GNB(2)
184	777417606060731	11	LAM11_ZWE	FXX(2) ZWE(9)
1608	777417607760700	2	LAM9	USA(2)
465	777417737700000	2	U	USA (2)
1358	777417760060771	3	T1	ITA(3)
1615	777417777760731	3	T2	USA(3)
496	777460007760771	6	T5_RUS1	GEO(1) RUS(4) USA (1)
252	777477607760771	39	LAM9	LVA(3) RUS(32) USA (4)
1288	777477607763771	4	MANU2	RUS(4)
1411	777477757413371	2	EAI6_BGD1	BGD(2)
1056	777477777760731	3	T2	CAF(1) CMR(1) USA(1)
561	777500003760771	4	T1	RUS(2) USA (2)
1281	777537777420771	3	H4	CZE(1) MNG(1) USA(1)
1535	777577607760771	6	LAM9	ARG(1) BEL(1) BRA(2) ESP(1) USA(1)
1513	777577757413771	2	EAI6_BGD1	MYS(2)
72	777577777003731	16	EAI undefined	GLP(1) GUF(7) USA (8)
1726	777577777413371	2	EAI5	DNK(1) USA (1)
1372	777577777413771	3	EAI5	MYS(1) USA (1) VNM(1)
366	777577777760471	10	T1	AUT(10)
917	777577777760771	7	T1	DNK(1) FIN(2) LVA(1) USA (3)
263	777600003760771	5	T1	FIN(1) RUS(4)
924	777600007413371	9	EAI5	COM(2) FIN(1) GUF(3) MUS(1) NLD(1) SWE(1)
609	777600774020771	3	H1	FXX(3)
622	777601774413771	5	EAI4_VNM	VNM(5)
802	777603000000011	2	ZERO	VNM(2)
133	777603405760430	2	T1	GLP(1) NLD(1)
136	777603405760471	30	T1	BEL(1) CAF(2) DZA(10) ESP(1) FXX(6) GBR(2) GUF(2) IDN(2) NLD(3) USA(1)
440	777607607760771	11	LAM9	GNB(1) USA(10)
1131	777617347760471	5	T4_CEU1	AUT(3) DEU(1) GLP(1)
273	777617607760771	4	LAM9	ITA(1) ITAS(2) VEN(1)
1214	777617777760771	11	T1	DEU(1) GUF(1) MDG(8) POL(1)
1226	777617777777771	4	U	USA(4)
920	777633777420771	2	H4	FIN(2)
1049	777637547013771	2	MANU1	GBR(2)
1456	777637677420771	5	H4	GEO(5)
538	777637777413731	2	EAI1_SOM	GNB(1) USA (1)
1609	777637777413771	3	EAI5	USA(2) VNM(1)
1448	777637777420731	3	H4	GEO(3)
1447	777637777420771	9	H4	GEO(8) USA (1)
1132	777637777720771	2	H3	AUT(1) GBR(1)
1073	777637777760771	2	T1	FXX(1) MAR(1)
1896	777637777770711	2	MANU3	BGD(2)
249	777640007760771	15	T1	AUS(1) MYS(1) NLD(1) NZL(2) USA (7) VNM(3)
404	777647000000011	2	ZERO	USA (2)
1654	777674077413671	2	EAI5	IDN(2)
868	777676777760771	3	X1	USA (3)
770	777677607760771	4	LAM9	ARG(1) ESP(1) FXX(1) ITAS(1)
1352	777677770000000	2	U	ITA(2)
1557	777677774020771	8	H1	POL(8)
1373	777677777413731	2	EAI1_SOM	MYS(1) USA (1)
497	777677777413771	4	EAI5	USA (1) VNM(3)
498	777677777760771	5	T1	AUT(1) CZE(1) DEU(1) GBR(1) USA (1)
1869	777700000000000	3	U	NOR(1) USA(2)
1492	777700000001131	2	U	MYS(2)
1083	777700000001731	6	U	IDN(1) MYS(2) USA (3)
499	777700000060771	3	T1	RUS(2) USA (1)
500	777700001760771	7	T1	FIN(1) POL(1) RUS(4) USA (1)
267	777700003760771	12	T1	BEL(1) DEU(2) GEO(4) LBY(2) RUS(2) USA (1)
722	777700007413731	2	EAI1_SOM	IDN(2)
1107	777700007760771	3	T1	FXX(1) ITA(1) PER(1)
723	777700074413771	2	EAI4_VNM	NLD(2)
441	777700277760771	2	T1	USA (2)
501	777700377760771	5	T1	CAN(2) GBR(1) USA (2)
1337	777700607760771	7	LAM9	GUF(6) RUS(1)
1190	777700776413771	8	EAI5	VNM(8)
763	777700777413700	5	EAI5	DNK(1) MYS(1) NLD(1) USA (2)
1347	777700777760771	8	T1	ITA(8)
724	777701002001731	3	U	MYS(2) NLD(1)
1916	777701777760771	5	T1	ITA(1) SEN(1) TUR(3)
1922	777702777760771	2	X1	ITA(1) USA (1)
1322	777703077760771	2	T1	IND(1) USA (1)
1835	777703377760731	4	T2	ARG(4)
1548	777703400000360	2	U	BEL(1) FXX(1)
1788	777703400000361	3	U	BEL(3)
1827	777703600020771	3	H3	ARG(3)
1659	777703700000000	4	U	BRA(4)
1167	777703737760771	3	T1	USA (3)
214	777703757760771	45	T5	USA(45)
215	777703777360771	5	T1	ESP(3) USA (2)
1705	777703777460771	2	T1	VEN(2)
102	777703777760771	46	T1	ARG(3) AUS(3) BRA(5) DEU(2) FXX(3) GLP(2) GUF(1) IDN(5) ITA(1) MAR(1) MEX(2) MUS(1) MYS(3) RUS(2) USA (11) ZAF(1)
1833	777705077560571	2	T1	ARG(2)
1826	777716777760771	2	X1	ARG(1) GBR(1)
1483	777717377760771	3	T1	RUS(2) USA (1)
216	777717607760771	9	LAM9	ARG(1) ITA(2) USA (5) VEN(1)
1065	777717743760771	2	LAM10_CAM	DZA(2)
925	777717777720771	5	H3	AUT(2) FIN(3)
875	777717777760731	4	T2	FIN(1) USA (3)
131	777717777760771	28	T1	ARG(1) ARM(1) AUT(1) FIN(2) FXX(1) GLP(1) GUF(9) ITA(1) MTQ(1) POL(1) TUN(1) USA (8)
1534	777721607560731	3	LAM5-LAM6	ESP(1) USA (2)
1655	777723777760771	14	T3	IDN(14)
1698	777727607700031	3	U	VEN(3)
333	777727607760771	10	LAM5	GLP(1) GUF(1) VEN(8)
502	777727737760771	2	T3	FXX(1) USA (1)
310	777727770020720	3	H3	CAF(3)
832	777727777760731	3	T2-T3	FXX(3)
1547	777727777760771	4	T3	DNK(1) EGY(1) IDN(1) POL(1)
1050	777730000000771	4	U	AZE(1) RUS(2) USA (1)
1072	777731607760771	3	LAM5	MAR(3)
896	777734077560771	3	T3	CUB(1) USA (2
1148	777734377760771	2	T3	USA(2)
1257	777736000000000	2	U	AUT(1) RUS(1)
385	777736377760571	3	T3	GUF(2) MTQ(1)
