sit	octal	total	clade	geography
409	264073777777600	31	BOVIS2	ARG(5) GBR(3) USA (23)
1694	277737607760771	2	LAM5	USA(1) VEN(1)
1775	277777477413771	2	EAI2_MANILLA	BEL(1) GBR(1)
1794	277777737760731	2	T2	BEL(2)
1486	300036777760771	2	X3	GUF(1) USA (1)
471	303777740003771	6	CAS1_DELHI	BGD(2) GBR(1) IND(1) USA (2)
270	337777777413731	3	EAI1_SOM	MYS(1) NLD(2)
1110	376037777760771	20	T1	AUT(20)
1525	376137607760771	4	LAM3	FXX(1) MDG(3)
376	376177607760771	23	LAM3	BEL(1) USA (16) VEN(6)
1541	376377607760771	2	LAM9-S	ESP(2)
884	376377777760771	7	S	ESP(1) ITA(1) USA(4) ZAF(1)
1733	376774737760771	2	T1	DNK(1) NLD(1)
1540	377377607760771	2	LAM9	ESP(1) IDN(1)
1665	377400000000131	2	U	BRA(2)
1078	377703377760731	2	T2	IDN(2)
1367	377737607760771	2	LAM5	IND(1) MYS(1)
1834	377737777760771	2	T3	ARG(1) USA(1)
1671	377767607760771	2	LAM9	BRA(1) FXX(1)
1645	377767777760771	2	T1	FXX(1) GLP(1)
410	377774077760771	3	T1	USA (3)
649	377777423560771	5	T1	KEN(2) NLD(2) SWE(1)
1914	377777607560771	2	LAM6	ITA(1) VEN(1)
828	377777607760731	6	LAM4	BRA(5) GNB(1)
177	377777607760771	21	LAM9	ARG(1) BRA(8) EGY(2) ESP(1) FXX(2) GUF(1) ITA(3) MYS(1) USA(2)
63	377777737760771	5	T1	ESP(1) GLP(2) GUF(1) MTQ(1)
1330	377777757760771	3	T5	TUR(1) ZAF(2)
1681	377777774020771	2	H1	AUT(1) BRA(1)
1550	377777777660760	2	T1	AUT(2)
108	377777777720731	2	H3	FXX(2)
472	377777777720771	6	H3	BEL(1) CZE(1) ESP(1) FXX(1) NLD(1) USA (1)
853	377777777760731	19	T2	AUT(3) BEL(1) CMR(13) DEU(1) USA(1)
1111	377777777760760	21	T1	AUT(20) DEU(1)
7	377777777760771	32	T1	AUT(2) CMR(1) DEU(1) ESP(1) FXX(1) GBR(2) GLP(3) GUF(3) HTI(2) JPN(1)MEX(1) MYS(1) NLD(3) PER(1) TUR(1) USA (8)
616	400000000003771	3	U	USA (1) VNM(2)
980	400000077777600	19	BOV	ESP(3) FXX(15) NLD(1)
852	400003743760771	13	LAM10_CAM	BEL(1) CMR(12)
192	400003777413771	2	EAI5	USA (2)
387	400017600560731	2	T2	BRA(2)
1648	400017777413771	3	EAI5	COM(2) NLD(1)
1864	400027777413671	2	EAI5	USA(2)
1764	400037777405771	2	U	KEN(2)
8	400037777413771	63	EAI5 or EAI3	COM(1) DNK(16) GBR(10) IND(2) MYS(1) NLD(2) NOR(2) SWE(1) TUN(2) USA(21) ZMB(5)
1287	400037777613771	4	MANU1	NOR(4)
1097	400177777413071	2	EAI3_IND	IND(2)
9	401776777760601	4	X2	GBR(1) NLD(2) USA (1)
1488	401777777410071	2	U	MYS(1) USA (1)
473	401777777413071	7	EAI3_IND	AUS(1) DEU(1) IND(1) MYS(1) USA (3)
1554	402777607760731	7	LAM4	AUT(6) DEU(1)
851	403777702000371	2	U	CMR(2)
1089	403777740003771	3	CAS	IND(2) USA (1)
1112	403777777760771	3	T1	AUT(2) USA (1)
1445	407757607760771	4	LAM9	GEO(4)
1387	407760007760771	2	T5_RUS1	ARM(2)
961	407777607760771	3	LAM9	GEO(1) SEN(1) USA (1)
411	407777777760771	8	T1	FXX(1) MWI(1) USA (6)
1605	416773677777600	2	BOV	DEU(2)
981	416773777777000	5	BOV	FXX(5)
982	416773777777600	2	BOV	ESP(1) FXX(1)
1692	417136777760731	4	X1	VEN(4)
782	417777607760771	2	LAM9	FXX(1) USA (1)
1724	435773037604771	2	U	GBR(2)
650	436773677774600	10	BOV	BEL(2) DEU(1) FXX(6) NLD(1)
921	437737777420771	5	H4	FIN(5)
339	437776777760601	16	X2	GBR(16)
965	437777407760771	2	T1	FXX(2)
412	437777606060600	2	LAM11_ZWE	USA (2)
1715	437777607760731	3	LAM4	ITA(1) VEN(2)
964	437777607760771	5	LAM9	FXX(2) MAR(1) SWE(1) USA (1)
850	437777743760771	2	LAM10_CAM	CMR(2)
1763	437777774320731	2	H3	ESP(1) GUF(1)
1206	437777777400171	2	U	ITAS(1) USA (1)
1159	437777777720771	5	H3	USA (5)
798	437777777760771	2	T1	FXX(1) NLD(1)
1299	440003777777600	4	BOV	MEX(4)
752	440013777777600	2	BOV	GBR(1) USA (1)
927	440060000000771	2	U	FIN(2)
1427	457001777413771	4	EAI5	BGD(2) GEO(2)
596	457777777420771	2	H4	IRN(2)
651	464063777777600	2	BOV	GBR(1) NZL(1)
1851	464073777777600	2	BOV	ARG(1) GBR(1)
1310	464223777774600	2	BOV	MEX(2)
1740	467777774000071	2	U	ITA(1) USA(1)
474	467777777413031	2	EAI5	GBR(1) USA (1)
76	474001377413771	2	EAI5 or EAI3	GUF(2)
938	474177777413771	2	EAI5	THA(2)
1286	474177777613771	2	MANU1	NOR(2)
1395	474377767413771	3	EAI5	BGD(2) USA (1)
340	474377777413771	21	EAI5	AUS(1) DNK(2) FXX(1) GBR(2) IND(6) MYS(1) NLD(1) USA (7)
1817	474563777777600	2	BOV	BRA(2)
1680	475777777413071	2	EAI3_IND	GBR(1) MDG(1)
1760	476177607760771	2	LAM3	DEU(1) PRT(1)
1746	476377737760771	3	S	BEL(1) ITA(1) POL(1)
1113	476377777760771	10	S	AUT(8) BEL(1) ZAF(1)
1819	476763677777200	4	BOV	MEX(4)
1842	476763777777600	2	BOV	ARG(1) BRA(1)
1875	477001777413771	2	EAI5	DEU(1) USA(1)
1114	477377777760731	6	T2	AUT(4) LVA(1) POL(1)
296	477567777413071	2	EAI3_IND	DNK(2)
652	477577777413071	5	EAI3_IND	DNK(2) GBR(1) NLD(2)
1472	477677777410771	3	CAS	MWI(3)
1704	477727607760771	2	LAM5	VEN(2)
178	477737607760731	4	LAM4	CUB(1) SEN(1) VEN(2)
960	477737607760771	8	LAM5	USA (2) VEN(6)
1502	477757777013071	2	MANU1	MYS(2)
577	477767277413771	5	EAI5	DNK(5)
297	477767377413671	2	EAI5	DNK(2)
298	477767777413071	26	EAI3_IND	DNK(23) IND(2) USA(1)
1359	477774374020771	8	H1	FXX(1) GBR(1) ITA(6)
1423	477774777413771	2	EAI5	BGD(2)
624	477775777413071	2	EAI3_IND	USA (2)
299	477776077411171	22	U	DNK(12) MYS(1) NLD(7) NZL(2)
475	477776077411771	4	U	GBR(1) IND(1) USA (2)
1866	477776377413771	3	EAI5	NLD(1) USA(2)
1342	477777177413071	4	EAI3_IND	DNK(1) NLD(1) USA (2)
1520	477777277403771	3	U	MDG(3)
10	477777277413771	61	EAI5 or EAI3	BEL(4) DNK(18) FXX(3) GBR(11) ITA(1) MDG(1) MWI(2) NLD(19) SWE(2)
1518	477777377403771	17	U	MDG(16) SAU(1)
1263	477777377410771	2	CAS	BEL(2)
109	477777377413771	51	EAI8_MDG	DNK(1) FXX(2) MDG(46) NLD(1) USA (1)
1517	477777377417771	6	U	MDG(6)
1676	477777377613071	2	MANU1	MDG(2)
413	477777477413771	10	EAI5	ITA(1) PHL(3) USA (5) VNM(1)
